Tagalog,Part of Speech,Definition
abyarin,v,"attend to a job, etc.; have a job in hand"
abyasyon,n,aviation
abyog,n,swing; dangle
ada,n,fairy
Adarna,n,name of a legendary bird
Adat,n,Law of the Muslim
adberb,n,adverb
adberbyo,n,adverb
Adbiyento,n,Advent
adelantada,adj,boastful
adelantado,adj,1. ahead of time; 2. in advance (e.g. payment); 3. progressive; 4. precocious
adelanto,n,down payment
adelpa,n,shrub with a flower called oleander
adhika,n,ambition; wish; desire
adhikain,v,work diligently
adhikain,n,ambition; wish; desire
adik,n,addict
adikto,n,addict
"adisyon, adisyon",n,addition
adisyunal,adj,additional
Adiyos,intrj,Good-bye!
adlaw,n,sun
administrador,n,administrator
administrasyon,n,administration
admiral,n,admiral
adobe,n,heavy clay for making adobe bricks; quarrystone
adobo,n,pickled pork or chicken with condiments
adobong palaka,comp,frog cooked in vinegar with condiments
adolesens,n,adolescence
adolesent,adj,adolescent
adopsyon,n,adoption
adorador,n,adorer; worshipper
adorasyon,n,adoration; worship
adorno,n,adornment; decoration
adornohan,v,adorn; decorate
adres,n,1. address; place of residence; 2. public speech
adresan,v,"address; place an address on an envelope, etc."
adult,n,adult
adulterado,adj,adulterated
adulterasyon,n,adultaration
adulto,n,adult
adwana,n,customs; customhouse
adya,n,protection and help; deliverance
adyenda,n,agenda
adyo,n,1. going upstairs; 2. dropping in for a visit when passing by
Adyos,intrj,Good-bye!
adyusan,v,say good-bye
adyusan,n,act of saying good-bye to one another
aeroplano,n,aeroplane; airplane; aircraft
aerostatiko,n,aerostatics
ag-ag,adj,"sifted, as grain or powder"
ag-agan,v,sift grain or powder
aga,n,earliness
agaas,n,rustling sound
agad,adj,"sifted, as grain or powder"
agad,adv,1. immediately; without delay; 2. quickly; forthwith
agad-agad,adv,instantly; unhesitatingly
agahan,v,make happen early
agahan,n,breakfast
"agahas, agahas",n,wheeze; sound caused by difficult breathing
agam-agam,n,1. reflection; meditation; 2. anxiety; foreboding
agam-agamin,v,feel anxiety
agamagam,n,1. reflection; meditation; 2. anxiety; foreboding
agamahan,n,religion
agap,adj,punctual; alert; anticipating
agap,n,1. quickness; 2. anticipation; advance; 3. prevention
agapan,v,prevent because of being alert; be always ready
agapay,adj,side by side; alongside
agapayanan,v,be or stay at the side of
agapayang kabit,comp,parallel connection (electr.)
agapayang salikop,comp,parallel circuit (electr.)
agaran,adj,made at once; used as quickly as supplied
agarin,v,use materials as soon as they are delivered
agas,n,miscarriage; accidental abortion
agas-as,n,grating or harsh noise
agasas,n,grating or harsh noise
agata,n,"agate (geology, mineral)"
agatat,n,1. sound when a knife hits bone when cutting meat; 2. squeaking sound; 3. notch
agaw-aw,n,hateful noise
agaw-buhay,adj,moribund; in a dying condition
agaw-dilim,n,dusk; time just before dark
agaw-tulog,n,half-sleep; falling asleep
agawan,v,1. rob; 2. despoil; plunder; snatch from
agawan,adj,vieing with one another
agawin,v,1. snatch; grab; 2. wrench; 3. wrest; 4. abduct
agay-ay,n,mountain breeze
agham,n,science; scientific knowledge
agham politiko,n,political science
aghimo,n,technics; technique
aghimuan,n,technology
aghimuin,adj,technical
agihap,n,sores or eruptions at the corners of the mouth
agik-ik,n,giggle
agikik,n,giggle
agila,n,1. amulet; 2. economy; thrift
agila,n,eagle
agimat,n,belief; amulet; charm
agimatan,n,economics
aginaldo,n,Christmas present
aginalduhan,n,Christmas present
aging-ing,n,1. warbling of voice as in tremolo; 2. humming sound
aginging,n,1. warbling of voice as in tremolo; 2. humming sound
agit-it,n,squeak; squeaking sound
agitit,n,squeak; squeaking sound
agiw,n,1. soot; 2. dirty or sooty cobweb
aglahi,n,1. mockery; 2. joke; jest
aglahiin,v,"jibe, gibe, jeer or scoff"
agnas,n,erosion
agnasin,v,erode; wear away
agnos,n,locket
agnostika,n,agnostic
agnostiko,n,agnostic
agong,n,musical instrument
agos,n,current (of water); flow of liquid or water
Agosto,n,August (the month of - )
agoy,n,1. painful movements of the body; 2. shaking of a poorly constructed building
agpang,adj,fitted; exact; right; adequate; applicable
agpangan,v,fit something with what suits it
agrabyado,adj,1. offended; aggrieved; injured; 2. treated unfairly
agrabyaduhin,v,offend; treat unfairly
agrarya,adj,agrarian
agraryo,adj,agrarian
agrasyada-do,adj,having a work scholarship in a school
agrerian,adj,agrarian
agresibo,adj,aggressive
agridulse,adj,bittersweet; sour-sweet
agrikultor,n,agriculturist
agrikultura,n,agriculture
agrikultural,adj,agricultural
agrimensor,n,land surveyor
agtas,n,rival; opponent
agting,adj,knotted too tightly
aguha,n,1. needle; 2. hand of a watch; 3. needle of a compass
aguhilya,n,hairpin
aguho,n,tree like a pine
aguhon,n,1. compass for direction; 2. compass for drawing circles
agunias,n,solemn tolling of church bell for the dying
agunyas,n,solemn tolling of church bell for the dying
agusan,v,flow over something (flood)
agwa,n,water
agwa-bendita,n,holy water
agwa-plorida,n,scented water
agwado,adj,melted; liquefied; watery
agwador,n,water carrier
agwahe,n,wake of a ship
agwanta,n,self-control
agwantahin,v,bear; endure; brook
agwaras,n,turpentine
agwardiyente,n,alcohol; hard liquor
agwardyente,n,alcohol; hard liquor
agwas,n,"fish known as ""large-scaled mullet"""
agwasa,n,continuous flow of pus
agwat,n,1. distance; gap; 2. chasm; gap (fig. meaning)
agwat ng liko,comp,contour interval
agwatan,v,1. put intervals between things; 2. stop affecting
agwatyempo,n,potion given to a sick person
ahas,n,snake; serpent
ahasin,n,dwelling place for snakes
ahedres,n,chess (the game)
ahensiya,n,1. agency; agent's office or district; 2. pawnshop
ahensiya-de-empenyos,n,pawnshop
ahente,n,"1. agent; 2. middleman; 3. travelling salesman; 4. person from government checking sales, income, etc."
ahente sa seguro,comp,underwriter; insurance agent
ahin,n,things laid on the table for a meal
ahit,n,shave; shaving service
ahitan,v,shave someone; cut the hair
ahitin,v,shave something off
ahon,n,1. getting out of water; 2. trip to the town; 3. disembarkation ; 4-relief from hardships
ahunan,n,1. way going upward; 2. landing place for small boats
ahunin,v,revome from stove or fire
aing. aing,n,moan; complaining with moaning
aising,n,icing (for cakes)
akademika,adj,academic; academical
akademiko,n,academician
akademista,n,academician
akademya,n,academy
akala,n,idea; belief; presumption; assumption
akalain,v,1. think; consider; 2. imagine; 3. assume; 4. take into consideration; 5. intend to
akap,adj,embraced
akap,n,embrace; hug
akapin,v,embrace; hug
akasya,adj,wasteful; wasted
akasya,n,acasia
akauntant,n,accountant
akaunting,n,accounting
akawntant,n,accountant
akawntant,n,accountant
akay,adj,led by the hand
akayan,n,hatch; brood
akayin,v,"guide, direct or lead (moral/physical)"
akbay,adj,having an arm on the shoulder of someone
akbay-akbay,adj,with the arms on each other's shoulder
akbayan,v,escort; support
akbayan,v,put an arm over the shoulders of another
akda,n,literary work or coposition; writing
akibat,n,"strong feeeling (of anger, etc.)"
akibat,n,band from shoulders to the waist as an insignia
akin,gram,my; mine; belonging to me (poss. pron.)
akinin,v,appropriate something for oneself
akitin,v,charm or attract
akkorde,n,chord; three or more notes in music
aklamasyon,n,akklamation
aklas,n,strike; walkout
aklasan,n,strike; walkout
aklat,n,book; tome; volume
aklat-talaan,n,notebook
aklatan,n,library; bookshop; place for binding books
aklatang nagpapahiram,n,circulating library
aklimatado,adj,acclimatized
akma,adj,fitted; proper; suited
akma,adj,ready to do something
akma,n,threatening gesture
akmain,v,be ready to do something
akme,n,pinnacle; height
akne,n,acne; skin eruption
ako,n,I (pers. pron.)
ako,n,promise
ako mismo,n,I myself
ako na rin,comp,I myself
akompanya,n,accompaniment (music)
akompanyador,n,accompanist (music)
akompanyahan,v,accompany a singer on a musical instrument
akompanyamiento,n,accompaniment (music)
akompanyante,n,accompanist (music)
akorde,n,chord; harmony [music]
akostiks,n,acoustics (science dealing with sound)
akrobat,n,acrobat
akrobata,n,acrobat
akrobatik,adj,acrobatic
akrobatiko-ka,adj,acrobatic
akropobya,n,acrophobia
aksaya,n,waste; lavishment; extravagance
aksayahin,v,waste; dissipate; lose
akselerador,n,accelerator
aksesoriya,n,apartment
aksesoriya,n,apartment
aksesorya,n,apartment/house for rent
aksesoryo,n,attachment; accessory
aksidental,adj,accidental; not deliberate
aksidental,n,something not substantial
aksidente,n,accident
aksis,n,axis (axix of a wheel)
aksiyon,n,1. action; motion; 2. acting in a play; 3. stock; share (in a company)
aksiyonista,n,stockholder; shareholder
aksiyunan,v,take action
aksiyunista,n,stockholder; shareholder
aksyon,n,1. action; motion; 2. acting in a play; 3. stock; share (in a company)
aksyunan,v,take action
akta,n,record or minutes of a meeting
aktiba,adj,activ in grammatical term
aktiba-bo,adj,active; energetic
aktibidad,n,activity
aktibista,n,activist
akting,adj,"1. temporaty (adj.); 2. performing in a play, etc. (n)"
Aktinyum,n,Actinium (Ac)
aktitud,n,attitude
akto,n,1. act; action; 2. division of a play; 3. law; decree
aktor,n,actor
aktres,n,actress
aktris,n,actress
aktuhan,v,be acted on
aktwal,adj,actual; real
akuin,v,"do something which another should do, to show kindness"
akuin,v,stand as guarantee for
akusado,adj,accused; the accused
akusasyon,n,accusation in court
akustika,n,acoustics
akustiks,n,acoustics
akustiks,n,acoustics
akwaryum,n,aquarium
akwatik,adj,aquatic
akwatika,n,aquatics
akwatiko,adj,aquatic
akwatiks,n,aquatics
akyat,n,1. rise; ascent; 2. visit; a going upstairs
akyat-panaog,adv,up and down the stairs
akyatan,v,take something upstairs
akyatan,n,stairway
akyatin,v,"climb something (tree, etc.)"
akyatin,n,place/way that slopes up
akyatin,n,place/way that slopes up
ala,n,1. nothing; zero; 2. null; 3. without
Ala,intrj,"exclamation of disapprovel or surprise, etc."
alaala,adj,worried; anxious
alaala,n,1. memory; recollection; 2. remembrance; 3. souvenir; 4. token; trophy
alab,n,1. blaze; 2. ardour
alabastro,n,alabaster
alabok,n,surface dust; dust from the ground
alabwab,n,slime; sandy soil
alaga,adj,well-kept; carefully tended
alaga,n,1. someone/something being cared for or petted; 2. ward (juridical); 3. care
alagaan,v,attend to; care for; nurse
alagaan,n,nursery pond (fish)
alagad,n,1. follower; 2. disciple; 3. minister; 4. helper; servant
alagad ng batas,n,agent of the law
alagain,n,person/thing receiving tender care
alagang-alaga,adj,well-kept; carefully tended
alagata,n,"1. constant caution; 2. constant wish, desire or ambition"
alagatain,v,think of; consider
alagaw,n,plant with medicinal properties
alahas,n,jewel
alahero,n,"jeweller (one who makes, repairs and sell jewels)"
alak,n,1. wine; alcohol; spirits; 2. wine cellar
alak-alakan,n,the back of the knee
alak-bigas,n,rice wine
alakalakan,n,back of the knee
alakan,n,1. liquor/wine store; 2. distillery; 3. distilling apparatus
alakbat,n,crossband from the shoulders to the hip
alakbay,adj,having one arm over another's shoulder
alakbayan,v,put the arm around someone's shoulder
alakdan,n,scorpion
alala,adj,worried; anxious
alalad,n,resonance; echo
alalahanin,v,1. remember; 2. recall (from memory)
alalaon,conj,as though; it seems
alalaong baga'y,comp,namely; that is
alalawa,n,house spider
alalay,n,1. prop; support; 2. bracket; cleat; 3. helpful friend
alalay,n,holding or carrying with care
alalayan,v,1. hold or carry carefully; 2. aid; support
alam na alam,comp,familiar; well-known
"alam, alam",1,n.; 2. adj. 1. knowledge; 2. alive to (realizing)
alamaam,adj,cloudy (sky)
alamang,n,1. species of very small shrimp; 2. [fig.] small fry; unimportant person
alamat,n,1. folklore; tradition; 2. legend; mythe
alamat (mga -),n,myths; mythology
alambre,n,wire
alambrera,n,wire netting; wire screen
alamid,n,large black mountain cat
alamin,v,get to know; find out
alampay,n,shoulder-kerchief (worn with Filipina dress)
alampayan,v,put a shoulder-kerchief on someone
alan,n,name; reputation; repute; denomination
alang-alang,n,regard; respect; consideration
alang-alang sa,comp,1. on behalf of; because of; 2. in consideration of
alangaang,n,stratosphere; space; outer void
alangan,adj,abnormal; irregular; improper; unworthy
alanganin,adj,1. doubtful; uncertain; perplexed; 2. insufficient
alanganin,n,homosexual
alangas,adj,egoistic; conceited; daring; presumptuous
alangilan,n,tree bearing aromatic flowers
alap,n,shift for doing one's work
alapaap,n,1. cirrus clouds; 2. [fig.] uncertainty; doubt
alapihan,n,centipede
alapot,adj,ragged; tattered
alapot,n,saddlebag; knapsack
alarakas,n,fuss; ado
alarma,n,1. alarm bell; alarm clock; 2. alarm; fear
alarmado,adj,1. alarmed; afraid; 2. forewarned; given the alarm
alas,n,"""ace"" in playing cards"
alasas,n,"leaves of screw palm, used in making mats and baskets"
alasuas,n,oppressive or suffocating heat
alat,adj,salt; salty
alat,n,saltiness
alat,n,policeman
alat-alatan,v,make a little salty
alatan,v,make salty
alatiit,n,"squeaking sound from hinges, floor boards, etc."
alatwat,n,dull echo
alawihaw,n,"large tree, used in furniture industry, et al."
alay,n,1. offering; 2. offering of flowers in May to Virgin Mary
alay-ay,n,1. scarecrow; 2. row; file
alayan,v,offer someone something
alayan,n,ceremony in May of offering flowers to the Blessed Virgin
alba,n,alb; long white robe worn by a priest at Mass
albatita,n,albite (geology)
albay,n,support at a house to prevent collaps
alboroto,n,1. outcry; riot; tumult; 2. tamtrum(s)
albularyo,n,quack doctor; charlatan
album,n,album
albumen,n,1. white of an egg; 2. a certain protein found in plants and animals
aldaba,n,"latch (for fastening door, window or gate)"
aldabahan,v,latch; fasten with a latch
aldabis,n,slap with the back of the hand
aldabisin,v,slap with the back of the hand
ale,n,"1. madam, ma'am; 2. aunt; 3. stepmother"
alegasyon,n,allegation
alegato,n,brief (legal term)
alegoria,n,allegory
alegoriya,n,allegory
alegro,n,1. allegro (music) (n); 2. lively (music) (adv.)
Aleman,n,German man (n); German (adj.)
Alemana,n,German woman (n); German (adj.)
Alemania,n,Germany
Alemanya,n,Germany
alerdyi,n,allergy
alerdyik,adj,allergic
alero,n,eaves; gable-end of a building
alerta,adj,1. alert; vigilant (adj.); 2. military alert (n)
alerto,adj,1. alert; vigilant (adj.); 2. military alert (n)
algodon,n,cotton
algopobya,n,algophobia (fear of pain)
alhebra,n,algebra
ali,n,"1. madam, ma'am; 2. aunt; 3. stepmother"
ali,n,evil or diabolic influence
alibadbad,n,nausea
alibadbaran,v,feel nausea; feel nauseated
alibambang,n,1. species of tree (bot.); 2. species of butterfly (zoo.)
alibangbang,1,"bot., 2. zoo. 1. tree (the leaves used for flavouring/flavoring; 2. species of butterfly"
alibay,n,alibi
alibugha,adj,1. irresponsible; dishonest; 2. wasteful
aligando,adj,loafing; idling
aligasin,n,small kind of mullet fish
alige,n,fat of crabs
aligi,n,the fat or ovary of crabs and shrimps
aligid,adj,circling around; hovering; lingering
aligin,n,variable
aligutgot,adj,1. confused; mixed-up; 2. mischievous (as a child)
alik-ik,n,giggle; chuckle; soft laugh
alikabok,n,dust
alikabukin,v,be (become) covered with dust
aliktiya,n,1. offensive words to make someone angry (n); 2. malicious; evil-minded (adj.)
aliktya,n,1. offensive words to make someone angry (n); 2. malicious; evil-minded (adj.)
alila,n,servant; houseboy; housemaid; domestic helper
alilain,v,treat someone like a servant
alilang-kanin,n,servant who works for food only
alilgin,adj,variable
alilisan,n,sugarmill
alilisin,v,mill sugarcanes
alimango,n,species of large black crab
alimapapayaw,n,gliding flight
alimasag,n,species of crab
alimbukay,n,"1. wake of a boat, etc.; waves of the sea; 2. nausea; seasickness"
alimbuyugin,n,coloured (US: colored) rooster with black spots on the wings and black feet
alimis,adj,furtive; secret
alimpungat,n,state of being halv awake after sleep
alimpungatan,n,restless sleep
alimpuso,n,knob of wood; knot
alimpuyo,n,"whirl of wind, dust, smoke or water; tornado; whirlpool"
alimulon,adj,cone-shaped
alimuom,n,"vapour (US: vapor) rising from the ground, esp. after raining"
alimura,n,1. insulting remarks; 2. rituperation; bitter abuse in words
alimurahin,v,1. criticise (US: criticize) unkindly; 2. scold very severely; 3. vilify
alimuwang,n,occultism
alimwang,n,occultism
alin,interrog,pron. which
alin man,interrog,pron. 1. whichever; 2. any; anyone
alinagnag,n,glow of a flame enclosed by glass or paper
alindog,n,1. great charm og beauty; 2. kind/indulgent treatment of others
alingaling,adj,fickle; changeable; inconstant
alingasaw,n,giving off of an offensive odor; reeking
alingasngas,n,scandal
alingawngaw,n,1. echo; repercussion; reverberation; 2. indecision; 3. rumor
alinlangan,1,n.; 2. adj. 1. doubt; 2. uncertain; doubtful
alinma'y hindi,conj,neither; not either
alinman,interrog,pron. 1. whichever; 2. any; anyone
alinsangan,n,sultriness and oppressiveness of weather
alinsunod sa/kay,prep,1. in accordance with; 2. under the terms of; 3. in agreement with; 4. pursuant to
alinsunuran,n,statute; guide for action
alinsunurin,v,act in conformity with a law or rule
alintana,adj,"considered, noticed or noted in passing"
alintanahin,v,consider or notice in passing
alintuntunin,n,1. regulation; 2. principle
alinugnog,n,spinning
alip-ip,1,n.; 2. adj. 1. anxiety to learn about something; 2. anxious; in suspense
alipala,adv,suddenly; abruptly; instantly
alipapa,1,adj.; 2. n 1. flat (ref. to roofs); 2. flat roof
aliparo,n,species of butterfly with yellow wings
alipato,n,flying ember
alipin,n,1. slave; 2. menial; drudge
alipinin,v,1. treat as a slave; 2. enslave
alipores,n,obsequious followers of someone
alipunga,n,athlete's foot
alipunya,n,poor servant (usually paying incurred debts)
alipusta,1,n.; 2. adj. 1. taunt; insult; 2. despised bacause of lowly condition
alipustain,v,insult
alipuyo,n,"whirl of wind, dust, smoke or water; tornado; whirlpool; eddy"
alirang,adj,dehydrated; desiccated
alis,n,departure
alis-is,n,oppressive heat (ref. to weather)
alisaga,adj,1. lazy; slothful; 2. random (mat.)
alisagsag,adj,slothful and neglectful
alisan,v,1. divest; 2. dismantle; 3. uncover
alisan ng laman,v,unpack; take things out
alisan ng mana,v,disinherit
alisangsang,n,offensive odour (US: odor)
alisin,v,1. remove; 2. take away; 3. omit; 4. dispense with
alisin sa pagkakaimpake,v,unpack
alisin sa tungkulin,v,dethrone (coll.); remove from office
alisis,n,oppressive heat (ref. to weather)
alisto,adj,1. alert; 2. ready; 3. talented; 4. quick
alit,n,1. quarrel; 2. conflict; 3. tiff; 4. strife
alitan,n,1. quarrel; 2. conflict; 3. tiff; 4. strife
alitaptap,n,firefly
alituntunin,n,law; regulation (e.g. traffic rules)
alituntuning-panloob,n,bylaw
aliw,n,1. consolation; comfort; 2. unction
aliw-iw,n,murmur of flowing water
aliwalas,n,"1. brightness, spaciousness; 2. serenity; clearness (weather)"
aliwan,n,amusement; diversion; pastime; relaxation
aliwaswas,n,1. scandalous anomaly; 2. malicious gossip; 3. extreme disorderliness in behavior
aliwin,v,console; soothe; comfort; solace
alkaide,n,warden
alkalay,n,lye; soda ash; alkali
alkalde,n,mayor
alkaldesa,n,mayoress; lady mayor or wife of the mayor
alkali,n,lye; soda ash; alkali
alkampor,n,camphor
alkampurado,adj,camphorated
alkansia,n,penny-bank; money-box
alkansiya,n,piggy bank; money box
alkansya,n,penny-bank; money-box
alkantarilya,n,culvert; sewer
alkawete,n,pimp
alkayde,n,warden; the man in charge of a prison
alkila,n,hire; rent
alkilahan,n,rental service
alkilahin,v,hire; rent; charter
alkitran,n,tar; pitch
alkitranan,v,tar; cover or smear with tar
alkohol,n,alcohol
alkoholik,1,adj.; 2. n 1. alcoholic; containing alcohol; 2. alcoholic
alkoholiko,1,adj.; 2. n 1. alcoholic; containing alcohol; 2. alcoholic
alkoholismo,n,alcoholism
alma,n,1. rising on hind legs like horses; 2. rising in protest (people)
almagre,n,red ochre; red-coloured (US: -colored) earth
almanake,n,almanac
almasen,n,department store
almendras,n,almond
almete,n,helmet
almirante,n,admiral
almires,n,brass or stone mortar
almirol,n,starch; laundry starch
almirulan,v,stiffen clothes with starch
almohada,n,small cushion or pillow
almohadon,n,"cushion; soft pillow for a couch, chair, etc."
almoneda,n,bargain sale
almuhada,n,small cushion or pillow
almuhadon,n,"cushion; soft pillow for a couch, chair, etc."
almuhasa,n,currycomb; kind of brush for cleaning horses
almuhasahin,v,curry; rub and clean a horse
almuranas,n,hemorrhoids
almusal,n,breakfast
almusalin,v,take for breakfast
almuwadon,n,cushion
almuwasa,n,currycomb; kind of brush for cleaning horses
almuwasahin,v,curry; rub and clean a horse
alo,n,1. something that cheers; 2. substitute for what one cannot get; 3. lullaby
alog,n,shake; jerk; jog
alok,n,offer; bid
alon,n,wave
aloy,n,lullaby; craddlesong
alpa,n,harp
alpabeto,n,alphabet
alpas,adj,loose; untied; free
alpasan,v,loose; let loose; set free; let go
alpiler,n,pin; decorative pin; brooch; tie pin; scarf pin
alpombra,n,carpet; floor rug
alpombrahan,v,cover the floor with a carpet or rug
alporhas,n,saddlebag; knapsack
als,n,wing of a bird; wing of a building
alsa,n,1. rising (dough); 2. strong protest; 3. rebellion; 4. tantrums of child; 5. lifting up
alsahin,v,lift or raise up something
alta,n,altar
alta-presyon,n,high blood pressure
altapresyon,n,high blood pressure
altar,n,altar
alternatibo,n,alternative
altitud,n,altitude; height
aluan,v,sing someone a lullaby
aluan,n,rocking craddle
alugbati,n,vine (leaves and shoots are used for food)
alugin,v,shake
aluin,v,"console, comfort or cheer up"
alukin,v,offer someone something
alulod,n,1. rain gutter; spout; 2. downpipe for water
alulong,n,distant howling or barking of dogs
alulos,n,current of a river or stream
alulusan,n,waterway; riverbed
alumana,adj,attended to; noticed
alumanahin,v,pay attention to; attend to
alumihit,adj,having violent tantrums (children)
alumina,n,alumina (chemistry)
Aluminum,n,Aluminium (US: Aluminum) (Al)
aluminyo,n,aluminium (US: aluminum)
alumna,n,graduate from school or college
alumnay,n,male graduate
alumney,n,female graduate
alumno,n,graduate from school or college
alumpihit,adj,1. twisting because of pain or other discomfort; 2. restless
alun-alon,adj,wavy; curly
alunan,n,channel (electro magnetic)
alunig,n,loop antenna
aluniging kidkid,comp,resonance
alupihan,n,centipede
alusitha,n,1. affidavit; sworn statement; 2. verification; proof
alusithain,v,make a sworn statement; testify
aluyan,n,cradle; hammock; swing
alwagi,n,carpenter
alwan,n,1. easiness; 2. comfort; ease of mind or body
alwanan,v,make something ease (e.g. make a work easy)
alyado,1,n.; 2. adj. 1. ally; 2. allied
alyansa,n,alliance
alyas,n,alias; assumed name
alyen,n,alien
am,n,broth made from boiled rice
ama,adj,rare; rarely; seldom
ama,n,1. father; 2. founder; 3. senior; 4. sire
ama ng tahanan,comp,householder; head of a family
ama-amahan,n,foster father
amag,n,mould (US: mold); mildew
amagin,v,1. be covered with mould (US: mould); 2. be covered with mildew
amagin,adj,mouldy (US: moldy); musty
amagong,n,"shrub (used in making rope, and the root and fruit used as a remedy for venereal disease)"
amain,n,uncle
amak,adj,tame; domesticated
amak,n,hut in the forest or mountain
amakin,v,"tame, subdue or domesticate"
amang,n,1. boy; 2. elderly man; 3. term for father
amang pangaman,n,stepfather
amang-panguman,n,stepfather
amanos,adj,quits; on even terms after paying a debt
amapola,n,1. poppy; 2. ornamental shrub
amarilyo,n,yellow
amas,n,grain of gold
amasona,n,amazon; mannish woman
amatista,n,amethyst (precious stone)
amatyur,n,amateur
